model,batch_size,target_overhead,variant,min_resident_frac,max_offload_frac,capacity_multiplier,gpus_hbm_only,gpus_needed,gpu_saving
Qwen3-235B-A22B,512,0.5,no prefetch,0.9961,0.0039,1.0,6,6,1.0
Qwen3-235B-A22B,512,0.5,prefetch d=4 w=25%,0.9805,0.0195,1.02,6,6,1.0
Qwen3-235B-A22B,512,1.0,no prefetch,0.9922,0.0078,1.01,6,6,1.0
Qwen3-235B-A22B,512,1.0,prefetch d=4 w=25%,0.9766,0.0234,1.02,6,6,1.0
DeepSeek-V3,128,0.05,no prefetch,1.0,0.0,1.0,16,16,1.0
DeepSeek-V3,128,0.05,prefetch d=4 w=25%,1.0,0.0,1.0,16,16,1.0
DeepSeek-V3,128,0.1,no prefetch,1.0,0.0,1.0,16,16,1.0
DeepSeek-V3,128,0.1,prefetch d=4 w=25%,1.0,0.0,1.0,16,16,1.0
DeepSeek-V3,128,0.25,no prefetch,1.0,0.0,1.0,16,16,1.0
DeepSeek-V3,128,0.25,prefetch d=4 w=25%,1.0,0.0,1.0,16,16,1.0
DeepSeek-V3,128,0.5,no prefetch,1.0,0.0,1.0,16,16,1.0
DeepSeek-V3,128,0.5,prefetch d=4 w=25%,1.0,0.0,1.0,16,16,1.0
DeepSeek-V3,128,1.0,no prefetch,0.999,0.001,1.0,16,16,1.0
DeepSeek-V3,128,1.0,prefetch d=4 w=25%,0.999,0.001,1.0,16,16,1.0
DeepSeek-V3,512,0.05,no prefetch,1.0,0.0,1.0,16,16,1.0
DeepSeek-V3,512,0.05,prefetch d=4 w=25%,0.9922,0.0078,1.01,16,16,1.0
DeepSeek-V3,512,0.1,no prefetch,1.0,0.0,1.0,16,16,1.0
DeepSeek-V3,512,0.1,prefetch d=4 w=25%,0.9922,0.0078,1.01,16,16,1.0
DeepSeek-V3,512,0.25,no prefetch,0.999,0.001,1.0,16,16,1.0
DeepSeek-V3,512,0.25,prefetch d=4 w=25%,0.9912,0.0088,1.01,16,16,1.0
DeepSeek-V3,512,0.5,no prefetch,0.9971,0.0029,1.0,16,16,1.0
DeepSeek-V3,512,0.5,prefetch d=4 w=25%,0.9893,0.0107,1.01,16,16,1.0
DeepSeek-V3,512,1.0,no prefetch,0.9951,0.0049,1.0,16,16,1.0
DeepSeek-V3,512,1.0,prefetch d=4 w=25%,0.9873,0.0127,1.01,16,16,1.0
