residency,offloaded_fraction,experts_offloaded,layers,batch_tokens,peak_vram_gb,tokens,wall_seconds,tokens_per_second,gb_streamed,achieved_gbs,stall_seconds,stall_fraction,trials,tps_spread_pct
1.0,0.0,0,16,16384,17.73,49152,1.824,26947.0,0.0,0.0,0.0,0.0,3,0.67
0.0,1.0,64,16,16384,7.27,49152,1.9995,24582.6,38.655,19.33,0.0114,0.0056,3,1.72
