config,requests,prompt_tokens,output_tokens,wall_seconds,output_tokens_per_second,ttft_mean_ms,ttft_p95_ms,tpot_mean_ms,tpot_p95_ms,prefill_seconds,decode_seconds,prefill_stall_seconds,decode_stall_seconds,peak_vram_gb,residency
resident,32,65536,2016,9.924,203.1,4678.2,9011.5,14.74,15.37,2.48,7.431,0.0,0.0,17.27,1.0
offload,32,65536,2016,165.213,12.2,72741.7,144957.8,321.38,322.4,3.199,161.974,0.0978,137.0843,6.44,0.0
phase_aware,32,65536,2016,10.63,189.7,72741.7,144957.8,14.74,15.37,3.199,7.431,0.0978,0.0,6.44 prefill / 17.27 decode,0.0 prefill / 1.0 decode
