model,latency_ns,bw_gbs,granularity,transfers,transfer_ms,latency_ms,latency_share
Mixtral-8x7B,300,67.5,4096 KB,84,5.2196,0.0252,0.0048
Mixtral-8x7B,300,67.5,whole expert,1,5.2196,0.0003,0.0001
Mixtral-8x7B,400,16.88,4 KB,86016,20.8721,34.4064,0.6224
Mixtral-8x7B,400,16.88,64 KB,5376,20.8721,2.1504,0.0934
Mixtral-8x7B,400,16.88,512 KB,672,20.8721,0.2688,0.0127
Mixtral-8x7B,400,16.88,4096 KB,84,20.8721,0.0336,0.0016
Mixtral-8x7B,400,16.88,whole expert,1,20.8721,0.0004,0.0
Mixtral-8x7B,400,67.5,4 KB,86016,5.2196,34.4064,0.8683
Mixtral-8x7B,400,67.5,64 KB,5376,5.2196,2.1504,0.2918
Mixtral-8x7B,400,67.5,512 KB,672,5.2196,0.2688,0.049
Mixtral-8x7B,400,67.5,4096 KB,84,5.2196,0.0336,0.0064
Mixtral-8x7B,400,67.5,whole expert,1,5.2196,0.0004,0.0001
Mixtral-8x7B,600,16.88,4 KB,86016,20.8721,51.6096,0.712
Mixtral-8x7B,600,16.88,64 KB,5376,20.8721,3.2256,0.1339
Mixtral-8x7B,600,16.88,512 KB,672,20.8721,0.4032,0.019
Mixtral-8x7B,600,16.88,4096 KB,84,20.8721,0.0504,0.0024
Mixtral-8x7B,600,16.88,whole expert,1,20.8721,0.0006,0.0
Mixtral-8x7B,600,67.5,4 KB,86016,5.2196,51.6096,0.9082
Mixtral-8x7B,600,67.5,64 KB,5376,5.2196,3.2256,0.3819
Mixtral-8x7B,600,67.5,512 KB,672,5.2196,0.4032,0.0717
Mixtral-8x7B,600,67.5,4096 KB,84,5.2196,0.0504,0.0096
Mixtral-8x7B,600,67.5,whole expert,1,5.2196,0.0006,0.0001
Mixtral-8x7B,800,16.88,4 KB,86016,20.8721,68.8128,0.7673
Mixtral-8x7B,800,16.88,64 KB,5376,20.8721,4.3008,0.1709
